id,competition_id,match_date,team1,team2,score,link,link_complete,parsed,parse_date,country_id,name,ID,country_name,link_match,competition_name
"484","516","2013-09-05"," France U21"," Kazakhstan U21","5-0","euro-under-21/qualification-group-1","http://www.livescore.com/soccer/euro-under-21/qualification-group-1","1","2013-10-26 16:07:04","243","Qualification Group 1","243","World","http://www.livescore.com/soccer/euro-under-21/qualification-group-10/france-u21-vs-kazakhstan-u21/1-1424568/","Qualification Group 1"
"485","517","2013-09-05"," Luxembourg U21"," Georgia U21","0-3","euro-under-21/qualification-group-3","http://www.livescore.com/soccer/euro-under-21/qualification-group-3","1","2013-10-26 16:07:05","243","Qualification Group 3","243","World","http://www.livescore.com/soccer/euro-under-21/qualification-group-3/luxembourg-u21-vs-georgia-u21/1-1424416/","Qualification Group 3"
"486","517","2013-09-05"," Netherlands U21"," Scotland U21","4-0","euro-under-21/qualification-group-3","http://www.livescore.com/soccer/euro-under-21/qualification-group-3","1","2013-10-26 16:07:05","243","Qualification Group 3","243","World","http://www.livescore.com/soccer/euro-under-21/qualification-group-3/netherlands-u21-vs-scotland-u21/1-1424415/","Qualification Group 3"
"487","518","2013-09-05"," Hungary U21"," Bosnia-Herzegovina U21","4-1","euro-under-21/qualification-group-4","http://www.livescore.com/soccer/euro-under-21/qualification-group-4","1","2013-10-26 16:07:05","243","Qualification Group 4","243","World","http://www.livescore.com/soccer/euro-under-21/qualification-group-4/hungary-u21-vs-bosnia-herzegovina-u21/1-1424473/","Qualification Group 4"
"488","518","2013-09-05"," Austria U21"," Spain U21","2-6","euro-under-21/qualification-group-4","http://www.livescore.com/soccer/euro-under-21/qualification-group-4","1","2013-10-26 16:07:05","243","Qualification Group 4","243","World","http://www.livescore.com/soccer/euro-under-21/qualification-group-4/austria-u21-vs-spain-u21/1-1424475/","Qualification Group 4"
"489","519","2013-09-05"," Latvia U21"," Switzerland U21","0-2","euro-under-21/qualification-group-5","http://www.livescore.com/soccer/euro-under-21/qualification-group-5","1","2013-10-26 16:07:05","243","Qualification Group 5","243","World","http://www.livescore.com/soccer/euro-under-21/qualification-group-5/latvia-u21-vs-switzerland-u21/1-1424429/","Qualification Group 5"
"490","520","2013-09-05"," Turkey U21"," Malta U21","4-0","euro-under-21/qualification-group-7","http://www.livescore.com/soccer/euro-under-21/qualification-group-7","1","2013-10-26 16:07:05","243","Qualification Group 7","243","World","http://www.livescore.com/soccer/euro-under-21/qualification-group-7/turkey-u21-vs-malta-u21/1-1424463/","Qualification Group 7"
"491","521","2013-09-05"," Portugal U21"," Norway U21","5-1","euro-under-21/qualification-group-8","http://www.livescore.com/soccer/euro-under-21/qualification-group-8","1","2013-10-26 16:07:05","243","Qualification Group 8","243","World","http://www.livescore.com/soccer/euro-under-21/qualification-group-8/portugal-u21-vs-norway-u21/1-1424518/","Qualification Group 8"
"492","522","2013-09-05"," Serbia U21"," Cyprus U21","2-1","euro-under-21/qualification-group-9","http://www.livescore.com/soccer/euro-under-21/qualification-group-9","1","2013-10-26 16:07:05","243","Qualification Group 9","243","World","http://www.livescore.com/soccer/euro-under-21/qualification-group-9/serbia-u21-vs-cyprus-u21/1-1424426/","Qualification Group 9"
"493","522","2013-09-05"," Italy U21"," Belgium U21","1-3","euro-under-21/qualification-group-9","http://www.livescore.com/soccer/euro-under-21/qualification-group-9","1","2013-10-26 16:07:05","243","Qualification Group 9","243","World","http://www.livescore.com/soccer/euro-under-21/qualification-group-9/italy-u21-vs-belgium-u21/1-1424422/","Qualification Group 9"
